game	Taito_Legends	battleshark	\N	\N	\N	\N	\N	Battle Shark (US)	1989	Taito America Corporation	\N	\N	\N	
game	Taito_Legends	bubblebobble	\N	\N	\N	\N	\N	Bubble Bobble	1986	Taito Corporation	\N	\N	\N	
game	Taito_Legends	colony7	\N	\N	\N	\N	\N	Colony 7 (set 1)	1981	Taito	\N	\N	\N	
game	Taito_Legends	continentalcircus	\N	\N	\N	\N	\N	Continental Circus (World)	1987	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	electricyoyo	\N	\N	\N	\N	\N	The Electric Yo-Yo (set 1)	1982	Taito America Corporation	\N	\N	\N	
game	Taito_Legends	elevatoraction	\N	\N	\N	\N	\N	Elevator Action	1983	Taito Corporation	\N	\N	\N	
game	Taito_Legends	gladiator	\N	\N	\N	\N	\N	Gladiator (US)	1986	Taito America Corporation	\N	\N	\N	
game	Taito_Legends	greatswordsman	\N	\N	\N	\N	\N	Great Swordsman (World?)	1984	Taito Corporation	\N	\N	\N	
game	Taito_Legends	junglehunt	\N	\N	\N	\N	\N	Jungle Hunt (US)	1982	Taito America Corporation	\N	\N	\N	
game	Taito_Legends	ninjakids	\N	\N	\N	\N	\N	The Ninja Kids (World)	1990	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	newzealandstory	\N	\N	\N	\N	\N	The NewZealand Story (World, newer)	1988	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	operationthunderbolt	\N	\N	\N	\N	\N	Operation Thunderbolt (World)	1988	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	operationwolf	\N	\N	\N	\N	\N	Operation Wolf (World)	1987	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	phoenix	\N	\N	\N	\N	\N	Phoenix (Taito)	1980	Taito	\N	\N	\N	
game	Taito_Legends	plotting	\N	\N	\N	\N	\N	Plotting (World set 1)	1989	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	plumppop	\N	\N	\N	\N	\N	Plump Pop (Japan)	1987	Taito Corporation	\N	\N	\N	
game	Taito_Legends	rainbowislands	\N	\N	\N	\N	\N	Rainbow Islands (new version)	1987	Taito Corporation	\N	\N	\N	
game	Taito_Legends	rastan	\N	\N	\N	\N	\N	Rastan (World)	1987	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	returnoftheinvaders	\N	\N	\N	\N	\N	Return of the Invaders	1985	Taito Corporation	\N	\N	\N	
game	Taito_Legends	spacegun	\N	\N	\N	\N	\N	Space Gun (World)	1990	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	spaceinvaders	\N	\N	\N	\N	\N	Space Invaders (TV Version)	1978	Taito	\N	\N	\N	
game	Taito_Legends	spaceinvaders2	\N	\N	\N	\N	\N	Space Invaders Part II (Taito)	1979	Taito	\N	\N	\N	
game	Taito_Legends	thunderfox	\N	\N	\N	\N	\N	Thunder Fox (World)	1990	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	tokio	\N	\N	\N	\N	\N	Tokio / Scramble Formation (US)	1986	Taito America Corporation (Romstar license)	\N	\N	\N	
game	Taito_Legends	tubeit	\N	\N	\N	\N	\N	Tube-It	1993	Taito Corporation	\N	\N	\N	
game	Taito_Legends	volfied	\N	\N	\N	\N	\N	Volfied (World)	1989	Taito Corporation Japan	\N	\N	\N	
game	Taito_Legends	zookeeper	\N	\N	\N	\N	\N	Zoo Keeper (set 1)	1982	Taito America Corporation	\N	\N	\N	
game	Taito_Legends	superqix	\N	\N	\N	\N	\N	Super Qix (set 1)	1987	Taito	\N	\N	\N	
