game	CAGE_v1.07	asteroid	\N	\N	\N	\N	\N	Asteroids (rev 2)	1979	Atari	\N	\N	\N	
game_rom	CAGE_v1.07	asteroid	035145.02	\N	\N	2048	0cc75459	2af85c9689b878155004da47fedbde5853a18723	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	asteroid	035144.02	\N	\N	2048	096ed35c	064d680ded7f30c543f93ae5ca85f90d550f73e5	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	asteroid	035143.02	\N	\N	2048	312caa02	1ce2eac1ab90b972e3f1fc3d250908f26328d6cb	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	asteroid	035127.02	\N	\N	2048	8b71fd9e	8cd5005e531eafa361d6b7e9eed159d164776c70	\N	\N	\N	\N	\N	\N	
game	CAGE_v1.07	astdelux	\N	\N	\N	\N	\N	Asteroids Deluxe (rev 2)	1980	Atari	\N	\N	\N	
game_rom	CAGE_v1.07	astdelux	036430.02	\N	\N	2048	a4d7a525	abe262193ec8e1981be36928e9a89a8ac95cd0ad	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	astdelux	036431.02	\N	\N	2048	d4004aae	aa2099b8fc62a79879efeea70ea1e9ed77e3e6f0	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	astdelux	036432.02	\N	\N	2048	6d720c41	198218cd2f43f8b83e4463b1f3a8aa49da5015e4	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	astdelux	036433.03	\N	\N	2048	0dcc0be6	bf10ffb0c4870e777d6b509cbede35db8bb6b0b8	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	astdelux	036800.02	\N	\N	2048	bb8cabe1	cebaa1b91b96e8b80f2b2c17c6fd31fa9f156386	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	astdelux	036799.01	\N	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game	CAGE_v1.07	bubbles	\N	\N	\N	\N	\N	Bubbles (Solid Red label)	1982	Williams	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.1b	\N	\N	4096	dda4e782	ad6825ebc05931942ce1042f18e18e3873083abc	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.2b	\N	\N	4096	3c8fa7f5	fd3db6c2abab7000d586ef1a4e425329da292144	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.3b	\N	\N	4096	f869bb9c	ce276fc33136a527eefbbf35c2bcf1f0b9858740	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.4b	\N	\N	4096	0c65eaab	c622906cbda07421a7024955f3b9e8d173f4b6cb	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.5b	\N	\N	4096	7ece4e13	c6ec7145c2d3bf51877c7fb995d9732b09e04cf0	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.6b	\N	\N	4096	4dd0450d	d55aa8fb8f2974ce5ba7155b01bc3e3622f202af	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.7b	\N	\N	4096	e0a26ec0	2da6213df6c15735a8bbd6750cfb1a1b6232a6f5	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	bubbles	bubbles.8b	\N	\N	4096	598b9bd6	993cc3fac58310d0e617e58e3a0753002b987df1	\N	\N	\N	\N	\N	\N	
