game	MGE_v0.471	gaunt	\N	\N	\N	\N	\N	Gauntlet	1985	Atari Games	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.9a	\N	\N	32768	46fe8743	d5fa19e028a2f43658330c67c10e0c811d332780	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.9b	\N	\N	32768	276e15c4	7467b2ec21b1b4fcc18ff9387ce891495f4b064c	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.10a	\N	\N	16384	6d99ed51	a7bc18f32908451859ba5cdf1a5c97ecc5fe325f	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.10b	\N	\N	16384	545ead91	7fad5a63c6443249bb6dad5b2a1fd08ca5f11e10	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.7a	\N	\N	32768	6fb8419c	299fee0368f6027bacbb57fb469e817e64e0e41d	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.7b	\N	\N	32768	931bd2a0	d69b45758d1c252a93dbc2263efa9de1f972f62e	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.16r	\N	\N	16384	6ee7f3cc	b86676340b06f07c164690862c1f6f75f30c080b	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.16s	\N	\N	32768	fa19861f	7568b4ab526bd5849f7ef70dfa6d1ef1f30c0abc	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.6p	\N	\N	16384	6c276a1d	ec383a8fdcb28efb86b7f6ba4a3306fea5a09d72	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.1a	\N	\N	32768	91700f33	fac1ce700c4cd46b643307998df781d637f193aa	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.1b	\N	\N	32768	869330be	5dfaaf54ee2b3c0eaf35e8c17558313db9791616	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.1l	\N	\N	32768	d497d0a8	bb715bcec7f783dd04151e2e3b221a72133bf17d	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.1mn	\N	\N	32768	29ef9882	91e1465af6505b35cd97434c13d2b4d40a085946	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.2a	\N	\N	32768	9510b898	e6c8c7af1898d548f0f01e4ff37c2c7b22c0b5c2	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.2b	\N	\N	32768	11e0ac5b	729b7561d59d94ef33874a134b97bcd37573dfa6	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.2l	\N	\N	32768	29a5db41	94f4f5dd39e724570a0f54af176ad018497697fd	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt	gaunt.2mn	\N	\N	32768	8bf3b263	683d900ab7591ee661218be2406fb375a12e435c	\N	\N	\N	\N	\N	\N	
game	MGE_v0.471	gaunt2	\N	\N	\N	\N	\N	Gauntlet II	1986	Atari Games	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.9a	\N	\N	32768	46fe8743	d5fa19e028a2f43658330c67c10e0c811d332780	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.9b	\N	\N	32768	276e15c4	7467b2ec21b1b4fcc18ff9387ce891495f4b064c	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.10a	\N	\N	16384	45dfda47	a9a03150f5a0ad6ce62c5cfdffb4a9f54340590c	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.10b	\N	\N	16384	343c029c	d2df4e5b036500dcc537a1e0025abb2a8c730bdd	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.7a	\N	\N	32768	58a0a9a3	7f51184840e3c96574836b8a00bfb4a7a5f508d0	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.7b	\N	\N	32768	658f0da8	dfce027ea50188659907be698aeb26f9d8bfab23	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.6a	\N	\N	32768	ae301bba	3d93236aaffe6ef692e5073b1828633e8abf0ce4	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.6b	\N	\N	32768	e94aaa8a	378c582c360440b808820bcd3be78ec6e8800c34	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.16r	\N	\N	16384	5c731006	045ad571db34ef870b1bf003e77eea403204f55b	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.16s	\N	\N	32768	dc3591e7	6d0d8493609974bd5a63be858b045fe4db35d8df	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.6p	\N	\N	16384	d101905d	6f50a84f4d263a7a459b642fa49a619e877535b6	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.1a	\N	\N	32768	09df6e23	726984275c6a338c12ec0c4cc449f92f4a7a138c	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.1b	\N	\N	32768	869330be	5dfaaf54ee2b3c0eaf35e8c17558313db9791616	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.1c	\N	\N	16384	e4c98f01	a24bece3196d13c38e4acdbf62783860253ba67d	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.1l	\N	\N	32768	33cb476e	e0757ee0120de2d38be44f8dc8702972c35b87b3	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.1mn	\N	\N	32768	29ef9882	91e1465af6505b35cd97434c13d2b4d40a085946	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.1p	\N	\N	16384	c4857879	3b4ce96da0d178b4bc2d05b5b51b42c7ec461113	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.2a	\N	\N	32768	f71e2503	244e108668eaef6b64c6ff733b08b9ee6b7a2d2b	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.2b	\N	\N	32768	11e0ac5b	729b7561d59d94ef33874a134b97bcd37573dfa6	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.2c	\N	\N	16384	d9c2c2d1	185e38c75c06b6ca131a17ee3a46098279bfe17e	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.2l	\N	\N	32768	9e30b2e9	e9b513089eaf3bec269058b437fefe7075a3fd6f	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.2mn	\N	\N	32768	8bf3b263	683d900ab7591ee661218be2406fb375a12e435c	\N	\N	\N	\N	\N	\N	
game_rom	MGE_v0.471	gaunt2	gaunt2.2p	\N	\N	16384	a32c732a	abe801dff7bb3f2712e2189c2b91f172d941fccd	\N	\N	\N	\N	\N	\N	
