game	ChopSuey_v0.3333	chplftb	\N	\N	\N	\N	\N	Choplifter (alternate)	1985	Sega	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7152.bin	\N	\N	32768	fe49d83e	307be38dd73ed37b275c1b464d266a752cb06132	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7153.bin	\N	\N	32768	48697666	0f4c6db9558272f5ceb347e742b284474f18b707	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7154.bin	\N	\N	32768	56d6222a	ad8ccf15fe7f1d6716f78490892da0167d79f678	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7127.bin	\N	\N	32768	1e708f6d	b975e13bdc44105e7a15c2694e3ec53b60e23e5e	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7128.bin	\N	\N	32768	b922e787	16087671ec7de25f749b5fd66409d48ef7b35820	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7129.bin	\N	\N	32768	bd3b6e6e	c66f21b98cb8fc61a9318041ac1812c13099d974	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7121.bin	\N	\N	32768	f2b88f73	2b06da1beabbea82d502fbe12f6ec3ef26056edd	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7120.bin	\N	\N	32768	517d7fd3	3fb5c00224920c3f62fb86e82caf0fee2293e1e2	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7123.bin	\N	\N	32768	8f16a303	5f2465505f001dc052e9de4cf66bc1d53fc8c7da	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	7122.bin	\N	\N	32768	7c93f160	6ab156cad7556808496070f8b02a708ce405c492	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	pr7119.bpr	\N	\N	256	b2a8260f	36c1debb4b3f2f190a25b18d533319d7380416de	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	pr7118.bpr	\N	\N	256	693e20c7	9ebf4bd2c30ddd9648bc4b41c7739cfdf80100da	\N	\N	\N	\N	\N	\N	
game_rom	ChopSuey_v0.3333	chplftb	pr7117.bpr	\N	\N	256	4124307e	cee28d891e6ce732c43a61acb5beeafd2200cf37	\N	\N	\N	\N	\N	\N	
