game	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	\N	\N	\N	\N	\N	Crazy Climber (US)	1980	Nichibutsu	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc11	\N	\N	4096	217ec4ff	334604c3a051d57440a9d0bfc34b809418ef1d2d	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc10	\N	\N	4096	b3c26cef	f52cb5482c12a9c5fb56e2e2aec7cab0ed23e5a5	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc09	\N	\N	4096	6db0879c	c0ba1976c1dcd6edadd78073173a26851ae8dd4f	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc08	\N	\N	4096	f48c5fe3	79072bbbf37387998ffd031afe8eb569a16fa9bd	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc07	\N	\N	4096	3e873baf	8870dc5948cdd3c8d2fe9e54a20cf6c311c94e53	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc06	\N	\N	2048	481b64cc	3f35c545fc784ed4f969aba2d7be6e13a5ae32b7	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc04	\N	\N	2048	332347cb	4115ca32af73f1791635b7d9e093bf77088a8222	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc05	\N	\N	2048	2c33b760	2edea8fe13376fbd51a5586d97aba3b30d78e94b	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc03	\N	\N	2048	4e4b3658	0d39a8cb5cd6cf06008be60707f9b277a8a32a2d	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc02	\N	\N	2048	14f3ecc9	a1b5121abfbe8f07580eb3fa6384352d239a3d75	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc01	\N	\N	2048	21c0f9fb	44fad56d302a439257216ddac9fd62b3666589f1	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc13	\N	\N	4096	e0042f75	86cb31b110742a0f7ae33052c88f42d00deb5468	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	cclimber	cc12	\N	\N	4096	5da13aaa	b2d41e69435d09c456648a10e33f5e1fbb0bc64c	\N	\N	\N	\N	\N	\N	
game	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	\N	\N	\N	\N	\N	Crazy Climber (bootleg set 1)	1980	bootleg	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m11.bin	\N	\N	4096	5efbe180	e0c24f21d563da075eb5019d0e76cb01c2598c7a	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m10.bin	\N	\N	4096	be2748c7	ae66bc4e5e02bf9944a3ee4b0d2dec073f732260	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m09.bin	\N	\N	4096	26489069	9be4d4a22dd334e619416e6c846a05003c0d687e	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m08.bin	\N	\N	4096	e3c542d6	645cc4c94d1b1601c0083b156de67ec47fe2449f	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m07.bin	\N	\N	4096	fbc9626c	32be2d06321b2943718d0bec77ec9ebb806e4b93	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m06.bin	\N	\N	2048	481b64cc	3f35c545fc784ed4f969aba2d7be6e13a5ae32b7	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m04.bin	\N	\N	2048	6fb80538	6ba5add5c0190e79191b3fa749a1b94e766e3950	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m05.bin	\N	\N	2048	056af36b	756a295bbf7ede201b2e4cb106ce67a127e008de	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m03.bin	\N	\N	2048	67127253	e27556ed74e73644a2578ce6645c312d64f484c6	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m02.bin	\N	\N	2048	7f4877de	c9aa9ff1b6cf907917fedfbd419b15ac337cf7bb	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m01.bin	\N	\N	2048	49fab908	9665d6e26f390afcbf0ed9fe8fea9be94fbb3a84	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m13.bin	\N	\N	4096	5f0bcdfb	7f79bf6de117348f606696ed7ea1937bbf926612	\N	\N	\N	\N	\N	\N	
game_rom	Crazy_Climber_Arcade_Machine_Emulator_v0.6	ccboot	m12.bin	\N	\N	4096	9003ffbd	fd016056aabc23957643f37230f03842294f795e	\N	\N	\N	\N	\N	\N	
